"handle","name","content","replies","retweets","favorites","unix_timestamp","date","url","__url"
"@WoodlandTrust","Woodland Trust","Learn about the wildlife that call our #woodlands home this #NationalWildlifeDay! http://www.woodlandtru.st/OTsH9 ","2","90","187","1504539909000","4 Sep 2017","/WoodlandTrust/status/904732070727049216","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@tedcruz","Ted Cruz","Pleasure joining @RepBrianBabin to serve residents of #Mauriceville, where water & supplies have only recently become available #TexasStrong","57","144","641","1504539677000","4 Sep 2017","/tedcruz/status/904731097828917248","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@chipgaines","Chip Gaines","Every penny! will go to help folks that lost so much along the coast.100K Shirts sold & counting! keep spreading the word. #HurricaneHarvery ","38","219","1.6K","1504698799000","6 Sep 2017","/chipgaines/status/905398504029380609","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@action4ifaw","ifaw","Are wildlife the forgotten victims of #HurricaneHarvery? Not for us, as we help our pals at @missionaransas rebuild. http://g.ifaw.org/2vQII1e ","2","33","62","1504818999000","7 Sep 2017","/action4ifaw/status/905902657373687808","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@TexasTribune","Texas Tribune","A scientist on Thursday's explosion at a chemical plant in #Crosby: “That is not good. That’s a big concern."" ","9","114","114","1504483561000","3 Sep 2017","/TexasTribune/status/904495731104460800","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@2D_ENTPVTLTD","2D Entertainment","""#Livingston is a grown-up kid"" @bramma23 @Suriya_offl @rajsekarpandian @NaanChristy @ChrisPicturesIN #MagalirMattum #Jyotika","1","42","221","1504780202000","7 Sep 2017","/2D_ENTPVTLTD/status/905739931565211649","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@PenguinsPR","Penguins PR","#Crosby making the rounds with @NHLonNBCSports and @NBCSportsNet at #NHLMediaDay","3","71","312","1504816681000","7 Sep 2017","/PenguinsPR/status/905892935279026177","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@LisaMarieBoothe","Lisa Boothe","Joining the rest of the country in prayer for those affected by #HurricaneHarvery. #NationalDayofPrayer","8","63","465","1504459607000","3 Sep 2017","/LisaMarieBoothe/status/904395259416891392","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@WoodlandTrust","Woodland Trust","For #InternationalDayOfCharity find out all the ways you can help us protect and restore our native #woodlands http://www.woodlandtru.st/OV6I3 ","1","17","55","1504605634000","5 Sep 2017","/WoodlandTrust/status/905007741865000960","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
"@martinbrader","Martin Brader","Great final stop at #Crosby on @SLaCC_QRA Field Trip w/ interesting overview of recent work by @caibird123 and views of Gormley art #SLaCC17","","9","10","1504882163000","8 Sep 2017","/martinbrader/status/906167589012951040","https://twitter.com/search?l=en&q=%23TXRescue%20OR%20%23hurricaneharvery%20OR%20%23Huffman%20OR%20%23Livingston%20OR%20%23Cypress%20OR%20%23Woodlands%20OR%20%23Conroe%20OR%20%23Hardin%20OR%20%23Crosby%20OR%20%23Baytown%20OR%20%23Mauriceville%20OR%20%23Daisetta%20since%3A2017-08-14%20until%3A2017-09-09&src=typd&lang=en"
